District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),Departure (%)
D,BENGALURU URBAN,845.6,933.8,10
T,Anekal,901.6,933.8,4
H,Anekal_1,901.6,866.5,-4
H,Attibele_1,823.5,970.5,18
H,Jigani_1,844.8,900.4,7
H,Sarjapura_1,747.8,929.3,24
H,Anekal_2,880.9,937.5,6
H,Jigani_2,865,969,12
H,Attibele_2,856.8,941.3,10
H,Sarjapura_1,855,959.4,12
H,Sarjapura_3,813.6,994.3,22
T,Bengaluru North,1004.6,969.2,-4
H,Bengaluru North_1,1004.6,869.3,-13
H,Dasanapura_1,895.6,884.6,-1
H,Yashavantapura_1,819,1031.4,26
H,Bengaluru North_2,854.2,950,11
H,Yashavantapura_2,865.7,1081.6,25
H,Dasanapura_2,872.2,1079.2,24
H,Dasanapura_3,899.8,1019.1,13
T,Bengaluru South,819.5,913.3,11
H,Beguru_3,819.5,818,0
H,Kengeri_1,905.4,1036,14
H,Tavarekere_1,734.4,1096.7,49
H,Uttarahalli_4,904.7,1147.4,27
H,Uttarahalli_1,885.8,780.7,-12
H,Uttarahalli_2,872.1,848.2,-3
H,Uttarahalli_3,862.6,682.5,-21
H,Uttarahalli_5,941.1,964.2,2
H,Beguru_1,912.3,832.2,-9
H,Beguru_2,875,892.7,2
H,Kengeri_2,877.9,932,6
H,Kengeri_3,860.1,869.1,1
H,Kengeri_4,851.5,1235,45
H,Tavarekere_2,961,790.3,-18
H,Tavarekere_3,870.6,1012.4,16
T,Bengaluru East,814.5,817.1,0
H,Mahadevpura_1,814.5,532,-35
H,Bidarahalli_2,828,821.5,-1
H,Varturu_1,817.9,911.6,11
H,K R Pura_2,855.2,765.7,-10
H,K R Pura_3,827.4,683.7,-17
H,Varturu_2,881.1,761.2,-14
H,Bidarahalli_1,820.6,896.6,9
H,Mahadevapura_2,882.2,506.9,-43
H,Marathahalli,891.5,930.2,4
H,Bidharahalli_3,798.7,1089.9,36
T,Yelahanka,751.6,1022.2,36
H,Yelahanka_1,751.6,1157.9,54
H,Yelahanka_2,785.4,1040.7,33
H,Yelahanka_3,800.6,1128.3,41
H,Jala_1,760.1,873.8,15
H,Jala_2,763.4,976.7,28
H,Jala_3,781.4,970.3,24
H,Hesarughatta_1,746.1,1007.1,35
H,Hesarughatta_2,780.6,1028.7,32
D,BENGALURU RURAL,798.5,883.5,11
T,Devanahalli,808.5,813.2,1
H,Devanahalli,808.5,910.1,13
H,Channarayapatna,796.3,741.3,-7
H,Kundana,786.3,777.7,-1
H,Vijaypura,786.9,815.2,4
T,DODDABALLAPURA,799,951,19
H,Dodballapur,799,844.5,6
H,Dodda Belavangala,791.9,960.6,21
H,Madure,812.5,879.8,8
H,Sasalu,710,975.5,37
H,Tubagere,787,1040.7,32
T,HOSAKOTE,856.9,756.7,-12
H,Hosakote,856.9,894,4
H,Anugondhalli,731.3,705.6,-4
H,Jadigenhalli,795.7,808.3,2
H,Nandagudi,777.3,665.5,-14
H,Sulibele,802.8,731.2,-9
T,Nelamangala,954.3,979.7,3
H,Nelamangala,954.3,1025.3,7
H,Sompura,794.5,953.8,20
H,Tyamagondal,877,875.9,0
H,Nelamangala_2,890.8,1013.4,14
H,Sompura_2,827,878.8,6
H,Tyamagondal_2,869.8,1032.6,19
D,RAMANAGARA,840.1,877.9,4
T,Channapatna,861.4,797.2,-7
H,Channapatna,861.4,840.6,-2
H,Maluru,843.4,760.3,-10
H,Virupakshipura,843.5,799.8,-5
T,Kanakapura,797,781.7,-2
H,Kanakapura,797,796.8,0
H,Kodihalli,802.6,961,20
H,Satnuru,798.6,603.6,-24
H,Uyyamballi,792.5,741.2,-6
T,Magadi,1000.6,1141,14
H,Magadi,1000.6,1201.3,20
H,Kuduru,841.2,1167.8,39
H,Madabal,968.7,1024.6,6
H,Solur,881.1,1185.4,35
H,Tippasanara,822.3,1132.2,38
T,Ramanagara,921.5,893.9,-3
